Time,GPS_X1,GPS_Y1,GPS_X2,GPS_Y2,Encoder_X,Encoder_Y,Kalman_X,Kalman_Y,Rot_x,Rot_yTheta,gps_middle_x,gps_middle_y,gps_angle
1740342096.348198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1740342096.4485233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1740342096.5486948,0.0,0.0,-0.354979168466446,-0.11113900919568209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1740342096.6488388,0.0,0.0,-0.15619084744286776,0.16670847430901858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1740342096.748953,0.0,-1.8523167409590258,-0.1845891682078988,-0.6297876398065227,0.0,0.0,0.0,-1.2564234314287848,0.0,0.0,0.0,0,0,0
1740342096.8491735,0.0,-1.8523167409590258,0.07099582461308587,-0.4075097003841677,0.0,0.0,0.0,-1.7151710322805387,0.0,0.0,0.0,0,0,0
1740342096.949405,0.0,-1.8523167409590258,0.8377508484770565,0.1296621379104579,0.0,0.0,0.0,-1.8214038054788386,0.0,0.0,0.0,0,0,0
1740342097.0496264,0.0,-1.8523167409590258,0.24138584000530527,-0.8335425294831111,0.0,0.0,0.0,-1.8453563504538832,0.0,0.0,0.0,0,0,0
1740342097.1498497,0.0,-3.7046334029490424,1.1927300018098304,-0.722403520287429,0.0,0.0,0.0,-3.2860192587391532,0.0,0.0,0.0,0,0,0
1740342097.2499807,0.0,-3.7046334029490424,0.7241575048822436,-0.963204667393569,0.0,0.0,0.0,-3.6103831569234877,0.0,0.0,0.0,0,0,0
1740342097.3500872,0.0,-3.7046334029490424,0.7809541615459779,-1.222529022183494,0.0,0.0,0.0,-3.6834131270460437,0.0,0.0,0.0,0,0,0
1740342097.4501922,0.0,-3.7046334029490424,1.4909124984788698,-1.2410521508982697,0.0,0.0,0.0,-3.699855695460683,0.0,0.0,0.0,0,0,0
1740342097.5504112,1.4199162780626464,-5.556950064939059,2.2860658431078713,-0.8705888658816718,0.0,0.0,1.1002246461949798,-5.138828561098814,0.0,0.0,0.0,0,0,0
1740342097.6506069,1.4199162780626464,-5.556950064939059,2.1866716825960824,-0.8520656581978869,0.0,0.0,1.347938274103285,-5.462810749865072,0.0,0.0,0.0,0,0,0
