Time,GPS_X,GPS_Y,Encoder_X,Encoder_Y,Theta
1738694411.1902814,0,0,0,0,0
1738694411.2904947,0.0,0.0,0.062341125000000025,0.0,-0.04523750000000001
1738694411.390657,-0.12779244320283814,-0.35194015630182207,0.046771788135143516,0.0007047987161040505,-0.08806875
1738694411.490785,-0.1845890913523955,0.129662216879467,1.3586241285631444,-0.11512802255024379,-0.112371875
1738694411.5909934,-0.1845890913523955,0.129662216879467,1.3586241285631444,-0.11512802255024379,-0.112371875
1738694411.6911814,-0.283983210480455,0.48160237318128907,4.332124992041356,-0.45067946535794784,-0.107559375
1738694411.7913902,-0.1845890913523955,0.1852316819928035,7.3691871169917755,-0.778609555614098,-0.101784375
1738694411.8916047,-0.35497902066740167,-0.3148938199032614,10.570890880307406,-1.1056230458551104,-0.1010625
1738694411.9917674,-0.35497902066740167,0.0555695440823456,13.625525172868816,-1.4153873487157977,-0.09480625
1738694412.0919797,-0.8093521755965287,-1.1299131417025876,16.457065906198082,-1.684642299199993,-0.086865625
1738694412.192191,-0.2555849015393422,-1.074343597620242,19.213022811912907,-1.9246441778405055,-0.0895125
1738694412.292402,-0.21298741542717417,-0.963204667393569,21.945050482619255,-2.1698500578375066,-0.0818125
1738694412.3926272,-1.0791362240395943,-0.963204667393569,24.981781692804034,-2.4188484170281077,-0.075315625
1738694412.4928436,-0.2555849015393422,-1.5929923072000918,27.981213766699476,-2.645180632466614,-0.068578125
1738694412.593061,-0.3975765067795697,-2.259826283405175,30.826616193251553,-2.8406194721508893,-0.058471875
1738694412.693277,-0.6673605552226353,-2.5747201033084366,33.63495181648899,-3.005015518900389,-0.048125
1738694412.7934928,-1.0365387379274262,-2.630289647390782,36.421487213631984,-3.1392211583411593,-0.040425
1738694412.8937213,-0.24138572436828695,-2.500627430511315,39.31798121636602,-3.2563757526113886,-0.028874999999999998
1738694412.9939313,0.1419916052402275,-2.889614002180707,42.16110938132659,-3.338493902073366,-0.018046874999999997
1738694413.0941448,-0.08519497222433603,-3.130415149286847,45.06729101351224,-3.3909470933283563,-0.008181249999999996
1738694413.194272,-0.610563907073078,-3.27860049488109,47.973848691827556,-3.414726898886506,-0.0012031249999999907
1738694413.2944877,-0.3975765067795697,-3.6675869875814726,50.90387944620221,-3.418252093838781,0.006015625000000016
1738694413.394704,-0.24138572436828695,-3.871341798289052,53.942954300491444,-3.3999699386379305,0.014678125000000014
1738694413.494915,-0.0709958101869467,-4.112142945395192,56.96617316150202,-3.355591567180321,0.02189687500000001
1738694413.5951264,-0.19878826852345075,-4.241805162274659,59.87992208350694,-3.2917793721833872,0.030559375000000007
1738694413.6953492,0.11359328116544881,-4.1677124894775375,62.847531933316745,-3.2010628288549916,0.03753750000000001
1738694413.7955775,-0.02839832407477868,-4.5196526457793595,65.77550074891565,-3.091102547566038,0.04186875
1738694413.8957944,-0.02839832407477868,-4.816023336967845,68.79639557347305,-2.964547498731042,0.05005000000000001
1738694413.9960144,0.22718657746456353,-5.019778147675424,71.49705575592179,-2.829266477965608,0.049809375
1738694414.0962353,0.42597483085434834,-4.964208603593079,74.43902066677498,-2.6826077389207064,0.05558437500000001
1738694414.1964498,0.12779244320283814,-5.279102502465349,77.31006411999155,-2.522858026963952,0.05245625000000001
1738694414.296663,0.6105639222067438,-4.945685474878303,80.23606669484533,-2.369229967906497,0.05823125000000001
1738694414.3968732,0.49697062590762914,-5.334671967578686,83.08333895662545,-2.203242087676908,0.06545000000000001
1738694414.4970915,0.07099579505328078,-5.408764640375807,86.08485793604954,-2.0065116787031854,0.07459375000000001
1738694414.5973015,0.6105639222067438,-5.427287769090583,89.014513876024,-1.7875714274250412,0.08205312500000002
1738694414.6975205,1.2069286672424324,-5.7421816679628535,92.05895150558962,-1.5372036687406416,0.08494062500000002
1738694414.7977073,1.2069286672424324,-6.131168160663236,94.78430712467241,-1.3051519129983538,0.09047500000000003
1738694414.8978002,0.5821655981319652,-6.131168160663236,97.58594443277033,-1.050979871252737,0.10178437500000004
1738694414.9980164,1.2353269913172111,-6.03855228018233,100.38452810966366,-0.7651399923737888,0.11261250000000003
1738694415.098221,1.434115244706996,-6.075598616580891,101.87123812732848,-0.5970065265078917,0.14678125000000003
1738694415.1984258,1.4057169357658832,-6.297876634972255,101.48579582525004,-0.6539920645370684,0.23773750000000005
1738694415.2986348,1.2495261533546005,-6.409015644167937,101.51608966239341,-0.6466512609232344,0.36863750000000006
1738694415.398791,1.3631194496537151,-6.686863127672638,101.47247491451533,-0.6634994861207523,0.4947250000000001
1738694415.4989996,0.8661488086124202,-7.0573264916582445,101.56163278382499,-0.6154012404456756,0.6138343750000002
1738694415.5992095,1.306322801504158,-7.224034965967263,101.62533336686629,-0.570515156731012,0.7192281250000001
1738694415.6994233,1.7890942653743978,-7.020280155259684,101.58429575288126,-0.6064519260074148,0.8118687500000001
1738694415.7996347,1.2495261533546005,-7.261081302365824,101.66473260328856,-0.5216398167517503,0.9016218750000001
1738694415.8998492,1.2637253153919898,-7.31665076747916,101.82425712778159,-0.31994271449270795,0.9779000000000001
1738694416.000062,1.391517758594828,-7.687114131464767,101.7676517782322,-0.40395700672473905,1.0546593750000002
1738694416.1002724,1.2211278444134877,-7.964961614969468,101.79841862031464,-0.34973692470211254,1.124440625
1738694416.2004983,0.46857231696651636,-7.927915278570907,101.67731692044646,-0.6027869189343158,1.181709375
1738694416.3007157,1.0365387379274262,-7.872345813457571,101.63888775467692,-0.6965193365661821,1.23921875
1738694416.4008183,0.7383563502759161,-7.631544666351431,101.62874064315122,-0.725992037396805,1.29600625
1738694416.501032,1.0081404138526475,-8.668842006542121,101.57376381847499,-0.9209992586373256,1.34028125
1738694416.601188,0.7241572033721927,-8.687365135256897,101.52925244882586,-1.1106621646468016,1.379503125
1738694416.7014031,0.5253689499824078,-8.261332306157954,101.83001813579489,0.44238862096252274,1.4081375
1738694416.8016307,0.5963647450356886,-8.520656660947878,102.27801384949824,3.1722602678374523,1.4319593750000001
1738694416.9018404,0.5821655981319652,-8.79850414445258,102.67164228451334,5.989205032651034,1.4514500000000001
1738694417.0020652,0.01419916203738934,-9.35419911146198,103.02050140213015,8.898395635660123,1.47406875
1738694417.1022825,0.01419916203738934,-9.35419911146198,103.33056782207467,12.093955883335918,1.4889875000000001
1738694417.2024994,0.21298740029350827,-9.168967429469177,103.59993249616147,15.379218514498628,1.4983718750000001
1738694417.3027282,0.21298740029350827,-9.168967429469177,103.82153909136014,18.43369790245951,1.5130500000000002
1738694417.402943,0.1845890913523955,-9.280106438664859,103.98524675110085,21.265491018009907,1.5260437500000001
1738694417.5031524,0.22718657746456353,-9.798755148244709,104.1111001415951,24.07581768176848,1.539759375
1738694417.6033635,0.22718657746456353,-9.798755148244709,104.20033208432869,26.94991721747075,1.55684375
1738694417.7035837,0.05679664814955736,-9.706139267763803,104.24229950550158,29.95758371713758,1.5722437500000002
1738694417.803812,-0.2697840635767315,-10.410019659336456,104.23831793204084,32.708382976251166,1.5777781250000003
1738694417.903916,-0.6247630842441332,-10.058079503034634,104.21802441857679,35.614967086480455,1.5813875000000002
1738694418.0041285,0.12779244320283814,-10.31740377885555,104.1860846647658,38.63054986704199,1.5898093750000002
1738694418.1043422,0.12779244320283814,-10.31740377885555,104.1303791648317,41.56005316041066,1.603765625
