Time,GPS_X1,GPS_Y1,GPS_X2,GPS_Y2,GPS_MIDX,GPS_MIDY,GPS_MID_Theta,DR_X,DR_Y,DR_Theta,DR_X_r,DR_Y_r,DR_Theta_r,Kalman_X,Kalman_Y,Kalman_Theta,Painting
1744160877.419583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160877.5199304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160877.620339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160877.7207427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160877.821224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160877.921757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160878.0222297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160878.1227417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160878.223235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160878.3237407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160878.4242363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160878.524749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160878.625313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160878.725828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160878.826348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160878.9268231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160879.0272462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160879.1277912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160879.2282908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160879.3287926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160879.429109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160879.529602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160879.6301959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160879.7307477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160879.8312814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160879.931797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160880.0322611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160880.1327891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160880.2332957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160880.3337886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160880.4343007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160880.5345597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160880.6347897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160880.7348912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1744160880.8349988,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0
1744160880.9350848,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0
1744160881.0351949,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1744160881.135296,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
