-1.0, 0.0, 0
-165.0, 1.0, 1
-212.0, 15.0, 1
-256.0, 44.0, 1
-295.0, 88.0, 1
-323.0, 143.0, 1
-309.0, 178.0, 1
-279.0, 221.0, 1
-250.0, 249.0, 1
-208.0, 275.0, 1
-158.0, 288.0, 1
-1.0, 288.0, 1
-0.0, 105.0, 1
-0.0, 104.0, 1
-1.0, 0.0, 1
-16.0, 16.0, 0
-154.0, 14.0, 1
-193.0, 22.0, 1
-205.0, 30.0, 1
-166.0, 73.0, 1
-165.0, 73.0, 1
-101.0, 143.0, 1
-205.0, 259.0, 1
-156.0, 274.0, 1
-16.0, 272.0, 1
-16.0, 16.0, 1
-95.0, 17.0, 0
-95.0, 271.0, 1
-180.0, 70.0, 0
-200.0, 60.0, 1
-201.0, 60.0, 1
-214.0, 65.0, 1
-222.0, 77.0, 1
-219.0, 96.0, 1
-205.0, 106.0, 1
-188.0, 104.0, 1
-177.0, 91.0, 1
-180.0, 70.0, 1
-156.0, 124.0, 0
-156.0, 125.0, 1
-168.0, 140.0, 1
-161.0, 162.0, 1
-138.0, 167.0, 1
-122.0, 148.0, 1
-132.0, 125.0, 1
-156.0, 124.0, 1
-187.0, 146.0, 0
-259.0, 69.0, 1
-267.0, 75.0, 1
-296.0, 117.0, 1
-306.0, 148.0, 1
-273.0, 206.0, 1
-261.0, 219.0, 1
-255.0, 215.0, 1
-255.0, 214.0, 1
-187.0, 146.0, 1
-193.0, 184.0, 0
-177.0, 199.0, 1
-177.0, 214.0, 1
-192.0, 229.0, 1
-207.0, 229.0, 1
-220.0, 218.0, 1
-222.0, 200.0, 1
-213.0, 188.0, 1
-212.0, 188.0, 1
-193.0, 184.0, 1
